<<<<<<< HEAD
Notation CIDR;Masque;IP;Binaire;Décimal
192.168.1.0/8;/8;192.168.1.0;1111 1111. 0000 0000. 0000 0000. 0000 0000;255.0.0.0
192.168.1.0/9;/9;192.168.1.0;1111 1111. 1000 0000. 0000 0000. 0000 0000;255.128.0.0
192.168.1.0/10;/10;192.168.1.0;1111 1111. 1100 0000. 0000 0000. 0000 0000;255.192.0.0
192.168.1.0/11;/11;192.168.1.0;1111 1111. 1110 0000. 0000 0000. 0000 0000;255.224.0.0
192.168.1.0/12;/12;192.168.1.0;1111 1111. 1111 0000. 0000 0000. 0000 0000;255.240.0.0
192.168.1.0/13;/13;192.168.1.0;1111 1111. 1111 1000. 0000 0000. 0000 0000;255.248.0.0
192.168.1.0/14;/14;192.168.1.0;1111 1111. 1111 1100. 0000 0000. 0000 0000;255.252.0.0
192.168.1.0/15;/15;192.168.1.0;1111 1111. 1111 1110. 0000 0000. 0000 0000;255.254.0.0
192.168.1.0/16;/16;192.168.1.0;1111 1111. 1111 1111. 0000 0000. 0000 0000;255.255.0.0
192.168.1.0/17;/17;192.168.1.0;1111 1111. 1111 1111. 1000 0000. 0000 0000;255.255.128.0
192.168.1.0/18;/18;192.168.1.0;1111 1111. 1111 1111. 1100 0000. 0000 0000;255.255.192.0
192.168.1.0/19;/19;192.168.1.0;1111 1111. 11111 1111 1110 0000. 0000 0000;255.255.224.0
192.168.1.0/20;/20;192.168.1.0;1111 1111. 1111 1111. 1111 0000. 0000 0000;255.255.240.0
192.168.1.0/21;/21;192.168.1.0;1111 1111. 1111 1111. 1111 1000. 0000 0000;255.255.248.0
192.168.1.0/22;/22;192.168.1.0;1111 1111. 1111 1111. 1111 1100. 0000 0000;255.255.252.0
192.168.1.0/23;/23;192.168.1.0;1111 1111. 1111 1111. 1111 1110. 0000 0000;255.255.254.0
192.168.1.0/24;/24;192.168.1.0;1111 1111. 1111 1111. 1111 1111. 0000 0000;255.255.255.0
192.168.1.0/25;/25;192.168.1.0;1111 1111. 1111 1111. 1111 1111. 1000 0000;255.255.255.128
192.168.1.0/26;/26;192.168.1.0;1111 1111. 1111 1111. 1111 1111. 1100 0000;255.255.255.192
192.168.1.0/27;/27;192.168.1.0;1111 1111. 1111 1111. 1111 1111. 1110 0000;255.255.255.224
192.168.1.0/28;/28;192.168.1.0;1111 1111. 1111 1111. 1111 1111. 1111 0000;255.255.255.240
192.168.1.0/29;/29;192.168.1.0;1111 1111. 1111 1111. 1111 1111. 1111 1000;255.255.255.248
192.168.1.0/30;/30;192.168.1.0;1111 1111. 1111 1111. 1111 1111. 1111 1100;255.255.255.252
=======
Notation CIDR;Masque;IP;Binaire;Décimal
192.168.1.0/8;/8;192.168.1.0;1111 1111. 0000 0000. 0000 0000. 0000 0000;255.0.0.0
192.168.1.0/9;/9;192.168.1.0;1111 1111. 1000 0000. 0000 0000. 0000 0000;255.128.0.0
192.168.1.0/10;/10;192.168.1.0;1111 1111. 1100 0000. 0000 0000. 0000 0000;255.192.0.0
192.168.1.0/11;/11;192.168.1.0;1111 1111. 1110 0000. 0000 0000. 0000 0000;255.224.0.0
192.168.1.0/12;/12;192.168.1.0;1111 1111. 1111 0000. 0000 0000. 0000 0000;255.240.0.0
192.168.1.0/13;/13;192.168.1.0;1111 1111. 1111 1000. 0000 0000. 0000 0000;255.248.0.0
192.168.1.0/14;/14;192.168.1.0;1111 1111. 1111 1100. 0000 0000. 0000 0000;255.252.0.0
192.168.1.0/15;/15;192.168.1.0;1111 1111. 1111 1110. 0000 0000. 0000 0000;255.254.0.0
192.168.1.0/16;/16;192.168.1.0;1111 1111. 1111 1111. 0000 0000. 0000 0000;255.255.0.0
192.168.1.0/17;/17;192.168.1.0;1111 1111. 1111 1111. 1000 0000. 0000 0000;255.255.128.0
192.168.1.0/18;/18;192.168.1.0;1111 1111. 1111 1111. 1100 0000. 0000 0000;255.255.192.0
192.168.1.0/19;/19;192.168.1.0;1111 1111. 11111 1111 1110 0000. 0000 0000;255.255.224.0
192.168.1.0/20;/20;192.168.1.0;1111 1111. 1111 1111. 1111 0000. 0000 0000;255.255.240.0
192.168.1.0/21;/21;192.168.1.0;1111 1111. 1111 1111. 1111 1000. 0000 0000;255.255.248.0
192.168.1.0/22;/22;192.168.1.0;1111 1111. 1111 1111. 1111 1100. 0000 0000;255.255.252.0
192.168.1.0/23;/23;192.168.1.0;1111 1111. 1111 1111. 1111 1110. 0000 0000;255.255.254.0
192.168.1.0/24;/24;192.168.1.0;1111 1111. 1111 1111. 1111 1111. 0000 0000;255.255.255.0
192.168.1.0/25;/25;192.168.1.0;1111 1111. 1111 1111. 1111 1111. 1000 0000;255.255.255.128
192.168.1.0/26;/26;192.168.1.0;1111 1111. 1111 1111. 1111 1111. 1100 0000;255.255.255.192
192.168.1.0/27;/27;192.168.1.0;1111 1111. 1111 1111. 1111 1111. 1110 0000;255.255.255.224
192.168.1.0/28;/28;192.168.1.0;1111 1111. 1111 1111. 1111 1111. 1111 0000;255.255.255.240
192.168.1.0/29;/29;192.168.1.0;1111 1111. 1111 1111. 1111 1111. 1111 1000;255.255.255.248
192.168.1.0/30;/30;192.168.1.0;1111 1111. 1111 1111. 1111 1111. 1111 1100;255.255.255.252
>>>>>>> 3e664a53f811d1dfef59a3f60956caba502f753d
